"Price","Strike","Maturity","sigma"
0.50873,0.5,0.4,0.64
0.50954,0.5,0.4,0.66
0.51042,0.5,0.4,0.68
0.51138,0.5,0.4,0.7
0.5124,0.5,0.4,0.72
0.5135,0.5,0.4,0.74
0.51465,0.5,0.4,0.76
0.51588,0.5,0.4,0.78
0.51716,0.5,0.4,0.8
0.51851,0.5,0.4,0.82
0.51992,0.5,0.4,0.84
0.52138,0.5,0.4,0.86
0.5229,0.5,0.4,0.88
0.52448,0.5,0.4,0.9
0.5261,0.5,0.4,0.92
0.52777,0.5,0.4,0.94
0.52949,0.5,0.4,0.96
0.53126,0.5,0.4,0.98
0.53306,0.5,0.4,1
0.50498,0.5,0.5,0.02
0.50498,0.5,0.5,0.04
0.50498,0.5,0.5,0.06
0.50498,0.5,0.5,0.08
0.50498,0.5,0.5,0.1
0.50498,0.5,0.5,0.12
0.50498,0.5,0.5,0.14
0.50498,0.5,0.5,0.16
0.50498,0.5,0.5,0.18
0.50498,0.5,0.5,0.2
0.50498,0.5,0.5,0.22
0.50498,0.5,0.5,0.24
0.50498,0.5,0.5,0.26
0.50498,0.5,0.5,0.28
0.50499,0.5,0.5,0.3
0.50502,0.5,0.5,0.32
0.50506,0.5,0.5,0.34
0.50513,0.5,0.5,0.36
0.50524,0.5,0.5,0.38
0.50539,0.5,0.5,0.4
0.5056,0.5,0.5,0.42
0.50587,0.5,0.5,0.44
0.50621,0.5,0.5,0.46
0.50663,0.5,0.5,0.48
0.50712,0.5,0.5,0.5
0.50771,0.5,0.5,0.52
0.50838,0.5,0.5,0.54
0.50914,0.5,0.5,0.56
0.50999,0.5,0.5,0.58
0.51093,0.5,0.5,0.6
0.51195,0.5,0.5,0.62
0.51307,0.5,0.5,0.64
0.51427,0.5,0.5,0.66
0.51555,0.5,0.5,0.68
0.51691,0.5,0.5,0.7
0.51836,0.5,0.5,0.72
0.51988,0.5,0.5,0.74
0.52147,0.5,0.5,0.76
0.52313,0.5,0.5,0.78
0.52486,0.5,0.5,0.8
0.52665,0.5,0.5,0.82
0.5285,0.5,0.5,0.84
0.53042,0.5,0.5,0.86
0.53239,0.5,0.5,0.88
0.53441,0.5,0.5,0.9
0.53649,0.5,0.5,0.92
0.53861,0.5,0.5,0.94
0.54078,0.5,0.5,0.96
0.54299,0.5,0.5,0.98
0.54525,0.5,0.5,1
0.50596,0.5,0.6,0.02
0.50596,0.5,0.6,0.04
0.50596,0.5,0.6,0.06
0.50596,0.5,0.6,0.08
0.50596,0.5,0.6,0.1
0.50596,0.5,0.6,0.12
0.50596,0.5,0.6,0.14
0.50596,0.5,0.6,0.16
0.50596,0.5,0.6,0.18
0.50596,0.5,0.6,0.2
0.50596,0.5,0.6,0.22
0.50597,0.5,0.6,0.24
0.50597,0.5,0.6,0.26
0.50599,0.5,0.6,0.28
0.50602,0.5,0.6,0.3
0.50608,0.5,0.6,0.32
0.50617,0.5,0.6,0.34
0.50632,0.5,0.6,0.36
0.50653,0.5,0.6,0.38
0.50681,0.5,0.6,0.4
0.50718,0.5,0.6,0.42
0.50763,0.5,0.6,0.44
0.50819,0.5,0.6,0.46
0.50884,0.5,0.6,0.48
0.5096,0.5,0.6,0.5
0.51047,0.5,0.6,0.52
0.51144,0.5,0.6,0.54
0.51252,0.5,0.6,0.56
0.5137,0.5,0.6,0.58
0.51499,0.5,0.6,0.6
0.51638,0.5,0.6,0.62
0.51786,0.5,0.6,0.64
0.51944,0.5,0.6,0.66
0.52111,0.5,0.6,0.68
0.52286,0.5,0.6,0.7
0.5247,0.5,0.6,0.72
0.52662,0.5,0.6,0.74
0.52861,0.5,0.6,0.76
0.53068,0.5,0.6,0.78
0.53281,0.5,0.6,0.8
0.53501,0.5,0.6,0.82
0.53727,0.5,0.6,0.84
0.53959,0.5,0.6,0.86
0.54196,0.5,0.6,0.88
0.54439,0.5,0.6,0.9
0.54687,0.5,0.6,0.92
0.54939,0.5,0.6,0.94
0.55195,0.5,0.6,0.96
0.55456,0.5,0.6,0.98
0.5572,0.5,0.6,1
0.50695,0.5,0.7,0.02
0.50695,0.5,0.7,0.04
0.50695,0.5,0.7,0.06
0.50695,0.5,0.7,0.08
0.50695,0.5,0.7,0.1
0.50695,0.5,0.7,0.12
0.50695,0.5,0.7,0.14
0.50695,0.5,0.7,0.16
0.50695,0.5,0.7,0.18
0.50695,0.5,0.7,0.2
0.50695,0.5,0.7,0.22
0.50696,0.5,0.7,0.24
0.50697,0.5,0.7,0.26
0.50701,0.5,0.7,0.28
0.50708,0.5,0.7,0.3
0.50719,0.5,0.7,0.32
0.50737,0.5,0.7,0.34
0.50762,0.5,0.7,0.36
0.50796,0.5,0.7,0.38
0.5084,0.5,0.7,0.4
0.50895,0.5,0.7,0.42
0.50962,0.5,0.7,0.44
0.51041,0.5,0.7,0.46
0.51132,0.5,0.7,0.48
0.51236,0.5,0.7,0.5
0.51352,0.5,0.7,0.52
0.5148,0.5,0.7,0.54
0.5162,0.5,0.7,0.56
0.51772,0.5,0.7,0.58
0.51935,0.5,0.7,0.6
0.52109,0.5,0.7,0.62
0.52293,0.5,0.7,0.64
0.52487,0.5,0.7,0.66
0.5269,0.5,0.7,0.68
0.52903,0.5,0.7,0.7
0.53123,0.5,0.7,0.72
0.53352,0.5,0.7,0.74
0.53589,0.5,0.7,0.76
0.53832,0.5,0.7,0.78
0.54083,0.5,0.7,0.8
0.54339,0.5,0.7,0.82
0.54602,0.5,0.7,0.84
0.54871,0.5,0.7,0.86
0.55144,0.5,0.7,0.88
0.55423,0.5,0.7,0.9
0.55706,0.5,0.7,0.92
0.55994,0.5,0.7,0.94
0.56285,0.5,0.7,0.96
0.56581,0.5,0.7,0.98
0.56879,0.5,0.7,1
0.50794,0.5,0.8,0.02
0.50794,0.5,0.8,0.04
0.50794,0.5,0.8,0.06
0.50794,0.5,0.8,0.08
0.50794,0.5,0.8,0.1
0.50794,0.5,0.8,0.12
0.50794,0.5,0.8,0.14
0.50794,0.5,0.8,0.16
0.50794,0.5,0.8,0.18
0.50794,0.5,0.8,0.2
0.50794,0.5,0.8,0.22
0.50796,0.5,0.8,0.24
0.50799,0.5,0.8,0.26
0.50806,0.5,0.8,0.28
0.50817,0.5,0.8,0.3
0.50836,0.5,0.8,0.32
0.50864,0.5,0.8,0.34
0.50902,0.5,0.8,0.36
0.50952,0.5,0.8,0.38
0.51014,0.5,0.8,0.4
0.5109,0.5,0.8,0.42
0.5118,0.5,0.8,0.44
0.51284,0.5,0.8,0.46
0.51402,0.5,0.8,0.48
0.51534,0.5,0.8,0.5
0.5168,0.5,0.8,0.52
0.51839,0.5,0.8,0.54
0.5201,0.5,0.8,0.56
0.52195,0.5,0.8,0.58
0.52391,0.5,0.8,0.6
0.52598,0.5,0.8,0.62
0.52816,0.5,0.8,0.64
0.53044,0.5,0.8,0.66
0.53281,0.5,0.8,0.68
0.53528,0.5,0.8,0.7
0.53783,0.5,0.8,0.72
0.54046,0.5,0.8,0.74
0.54317,0.5,0.8,0.76
0.54595,0.5,0.8,0.78
0.54879,0.5,0.8,0.8
0.55169,0.5,0.8,0.82
0.55465,0.5,0.8,0.84
0.55767,0.5,0.8,0.86
0.56073,0.5,0.8,0.88
0.56384,0.5,0.8,0.9
0.56699,0.5,0.8,0.92
0.57018,0.5,0.8,0.94
0.57341,0.5,0.8,0.96
0.57668,0.5,0.8,0.98
0.57997,0.5,0.8,1
0.50892,0.5,0.9,0.02
0.50892,0.5,0.9,0.04
0.50892,0.5,0.9,0.06
0.50892,0.5,0.9,0.08
0.50892,0.5,0.9,0.1
0.50892,0.5,0.9,0.12
0.50892,0.5,0.9,0.14
0.50892,0.5,0.9,0.16
0.50892,0.5,0.9,0.18
0.50892,0.5,0.9,0.2
0.50893,0.5,0.9,0.22
0.50896,0.5,0.9,0.24
0.50902,0.5,0.9,0.26
0.50913,0.5,0.9,0.28
0.50932,0.5,0.9,0.3
0.5096,0.5,0.9,0.32
0.51,0.5,0.9,0.34
0.51053,0.5,0.9,0.36
0.5112,0.5,0.9,0.38
0.51202,0.5,0.9,0.4
0.513,0.5,0.9,0.42
0.51414,0.5,0.9,0.44
0.51543,0.5,0.9,0.46
0.51688,0.5,0.9,0.48
0.51848,0.5,0.9,0.5
0.52023,0.5,0.9,0.52
0.52212,0.5,0.9,0.54
0.52415,0.5,0.9,0.56
0.5263,0.5,0.9,0.58
0.52857,0.5,0.9,0.6
0.53097,0.5,0.9,0.62
0.53346,0.5,0.9,0.64
0.53607,0.5,0.9,0.66
0.53876,0.5,0.9,0.68
0.54155,0.5,0.9,0.7
0.54442,0.5,0.9,0.72
0.54737,0.5,0.9,0.74
0.55039,0.5,0.9,0.76
0.55348,0.5,0.9,0.78
0.55663,0.5,0.9,0.8
0.55984,0.5,0.9,0.82
0.5631,0.5,0.9,0.84
0.56642,0.5,0.9,0.86
0.56978,0.5,0.9,0.88
0.57318,0.5,0.9,0.9
0.57663,0.5,0.9,0.92
0.5801,0.5,0.9,0.94
0.58361,0.5,0.9,0.96
0.58715,0.5,0.9,0.98
0.59072,0.5,0.9,1
0.5099,0.5,1,0.02
0.5099,0.5,1,0.04
0.5099,0.5,1,0.06
0.5099,0.5,1,0.08
0.5099,0.5,1,0.1
0.5099,0.5,1,0.12
0.5099,0.5,1,0.14
0.5099,0.5,1,0.16
0.5099,0.5,1,0.18
0.50991,0.5,1,0.2
0.50992,0.5,1,0.22
0.50997,0.5,1,0.24
0.51007,0.5,1,0.26
0.51024,0.5,1,0.28
0.51051,0.5,1,0.3
0.5109,0.5,1,0.32
0.51143,0.5,1,0.34
0.51212,0.5,1,0.36
0.51298,0.5,1,0.38
0.51401,0.5,1,0.4
0.51522,0.5,1,0.42
0.5166,0.5,1,0.44
0.51815,0.5,1,0.46
0.51986,0.5,1,0.48
0.52174,0.5,1,0.5
0.52378,0.5,1,0.52
0.52596,0.5,1,0.54
0.52828,0.5,1,0.56
0.53073,0.5,1,0.58
0.53331,0.5,1,0.6
0.536,0.5,1,0.62
0.5388,0.5,1,0.64
0.5417,0.5,1,0.66
0.5447,0.5,1,0.68
0.54778,0.5,1,0.7
0.55095,0.5,1,0.72
0.55419,0.5,1,0.74
0.5575,0.5,1,0.76
0.56088,0.5,1,0.78
0.56432,0.5,1,0.8
0.56781,0.5,1,0.82
0.57135,0.5,1,0.84
0.57494,0.5,1,0.86
0.57857,0.5,1,0.88
0.58224,0.5,1,0.9
0.58595,0.5,1,0.92
0.58969,0.5,1,0.94
0.59345,0.5,1,0.96
0.59724,0.5,1,0.98
0.60105,0.5,1,1
0.4012,0.6,0.1,0.02
0.4012,0.6,0.1,0.04
0.4012,0.6,0.1,0.06
0.4012,0.6,0.1,0.08
0.4012,0.6,0.1,0.1
0.4012,0.6,0.1,0.12
0.4012,0.6,0.1,0.14
0.4012,0.6,0.1,0.16
0.4012,0.6,0.1,0.18
0.4012,0.6,0.1,0.2
0.4012,0.6,0.1,0.22
0.4012,0.6,0.1,0.24
0.4012,0.6,0.1,0.26
0.4012,0.6,0.1,0.28
0.4012,0.6,0.1,0.3
0.4012,0.6,0.1,0.32
0.4012,0.6,0.1,0.34
0.4012,0.6,0.1,0.36
0.4012,0.6,0.1,0.38
0.4012,0.6,0.1,0.4
0.4012,0.6,0.1,0.42
0.4012,0.6,0.1,0.44
0.4012,0.6,0.1,0.46
0.40121,0.6,0.1,0.48
0.40122,0.6,0.1,0.5
0.40123,0.6,0.1,0.52
0.40125,0.6,0.1,0.54
0.40127,0.6,0.1,0.56
0.40131,0.6,0.1,0.58
0.40135,0.6,0.1,0.6
0.40141,0.6,0.1,0.62
0.40148,0.6,0.1,0.64
0.40157,0.6,0.1,0.66
0.40167,0.6,0.1,0.68
0.40179,0.6,0.1,0.7
0.40194,0.6,0.1,0.72
0.4021,0.6,0.1,0.74
0.40229,0.6,0.1,0.76
0.4025,0.6,0.1,0.78
0.40273,0.6,0.1,0.8
0.403,0.6,0.1,0.82
0.40328,0.6,0.1,0.84
0.4036,0.6,0.1,0.86
0.40394,0.6,0.1,0.88
0.4043,0.6,0.1,0.9
0.4047,0.6,0.1,0.92
0.40512,0.6,0.1,0.94
0.40557,0.6,0.1,0.96
0.40605,0.6,0.1,0.98
0.40655,0.6,0.1,1
0.4024,0.6,0.2,0.02
0.4024,0.6,0.2,0.04
0.4024,0.6,0.2,0.06
0.4024,0.6,0.2,0.08
0.4024,0.6,0.2,0.1
0.4024,0.6,0.2,0.12
0.4024,0.6,0.2,0.14
0.4024,0.6,0.2,0.16
0.4024,0.6,0.2,0.18
0.4024,0.6,0.2,0.2
0.4024,0.6,0.2,0.22
0.4024,0.6,0.2,0.24
0.4024,0.6,0.2,0.26
0.4024,0.6,0.2,0.28
0.4024,0.6,0.2,0.3
0.4024,0.6,0.2,0.32
0.40241,0.6,0.2,0.34
0.40242,0.6,0.2,0.36
0.40244,0.6,0.2,0.38
0.40248,0.6,0.2,0.4
0.40253,0.6,0.2,0.42
0.40261,0.6,0.2,0.44
0.40271,0.6,0.2,0.46
0.40285,0.6,0.2,0.48
0.40302,0.6,0.2,0.5
0.40324,0.6,0.2,0.52
0.40349,0.6,0.2,0.54
0.4038,0.6,0.2,0.56
0.40416,0.6,0.2,0.58
0.40456,0.6,0.2,0.6
0.40502,0.6,0.2,0.62
0.40554,0.6,0.2,0.64
0.40611,0.6,0.2,0.66
0.40673,0.6,0.2,0.68
0.40741,0.6,0.2,0.7
0.40814,0.6,0.2,0.72
0.40893,0.6,0.2,0.74
0.40976,0.6,0.2,0.76
0.41065,0.6,0.2,0.78
0.41159,0.6,0.2,0.8
0.41258,0.6,0.2,0.82
0.41362,0.6,0.2,0.84
0.4147,0.6,0.2,0.86
0.41583,0.6,0.2,0.88
0.417,0.6,0.2,0.9
0.41821,0.6,0.2,0.92
0.41947,0.6,0.2,0.94
0.42076,0.6,0.2,0.96
0.42209,0.6,0.2,0.98
0.42346,0.6,0.2,1
0.40359,0.6,0.3,0.02
0.40359,0.6,0.3,0.04
0.40359,0.6,0.3,0.06
0.40359,0.6,0.3,0.08
0.40359,0.6,0.3,0.1
0.40359,0.6,0.3,0.12
0.40359,0.6,0.3,0.14
0.40359,0.6,0.3,0.16
0.40359,0.6,0.3,0.18
0.40359,0.6,0.3,0.2
0.40359,0.6,0.3,0.22
0.40359,0.6,0.3,0.24
0.40359,0.6,0.3,0.26
0.4036,0.6,0.3,0.28
0.40362,0.6,0.3,0.3
0.40365,0.6,0.3,0.32
0.40371,0.6,0.3,0.34
0.4038,0.6,0.3,0.36
0.40393,0.6,0.3,0.38
0.40411,0.6,0.3,0.4
0.40434,0.6,0.3,0.42
0.40465,0.6,0.3,0.44
0.40502,0.6,0.3,0.46
0.40546,0.6,0.3,0.48
0.40599,0.6,0.3,0.5
0.40659,0.6,0.3,0.52
0.40728,0.6,0.3,0.54
0.40804,0.6,0.3,0.56
0.40889,0.6,0.3,0.58
0.40982,0.6,0.3,0.6
0.41082,0.6,0.3,0.62
0.41191,0.6,0.3,0.64
0.41306,0.6,0.3,0.66
0.4143,0.6,0.3,0.68
0.4156,0.6,0.3,0.7
0.41697,0.6,0.3,0.72
0.4184,0.6,0.3,0.74
0.4199,0.6,0.3,0.76
0.42146,0.6,0.3,0.78
0.42307,0.6,0.3,0.8
0.42474,0.6,0.3,0.82
0.42647,0.6,0.3,0.84
0.42824,0.6,0.3,0.86
0.43006,0.6,0.3,0.88
0.43193,0.6,0.3,0.9
0.43384,0.6,0.3,0.92
0.43579,0.6,0.3,0.94
0.43778,0.6,0.3,0.96
0.43981,0.6,0.3,0.98
0.44188,0.6,0.3,1
0.40478,0.6,0.4,0.02
0.40478,0.6,0.4,0.04
0.40478,0.6,0.4,0.06
0.40478,0.6,0.4,0.08
0.40478,0.6,0.4,0.1
0.40478,0.6,0.4,0.12
0.40478,0.6,0.4,0.14
0.40478,0.6,0.4,0.16
0.40478,0.6,0.4,0.18
0.40478,0.6,0.4,0.2
0.40478,0.6,0.4,0.22
0.40479,0.6,0.4,0.24
0.40481,0.6,0.4,0.26
0.40485,0.6,0.4,0.28
0.40492,0.6,0.4,0.3
0.40504,0.6,0.4,0.32
0.40521,0.6,0.4,0.34
0.40546,0.6,0.4,0.36
0.40579,0.6,0.4,0.38
0.40622,0.6,0.4,0.4
0.40674,0.6,0.4,0.42
0.40736,0.6,0.4,0.44
0.4081,0.6,0.4,0.46
0.40893,0.6,0.4,0.48
0.40988,0.6,0.4,0.5
0.41094,0.6,0.4,0.52
0.41209,0.6,0.4,0.54
0.41336,0.6,0.4,0.56
0.41471,0.6,0.4,0.58
0.41617,0.6,0.4,0.6
0.41772,0.6,0.4,0.62
0.41935,0.6,0.4,0.64
0.42107,0.6,0.4,0.66
0.42287,0.6,0.4,0.68
0.42474,0.6,0.4,0.7
0.42669,0.6,0.4,0.72
0.42871,0.6,0.4,0.74
0.43079,0.6,0.4,0.76
0.43293,0.6,0.4,0.78
0.43513,0.6,0.4,0.8
0.43739,0.6,0.4,0.82
0.4397,0.6,0.4,0.84
0.44205,0.6,0.4,0.86
0.44446,0.6,0.4,0.88
0.4469,0.6,0.4,0.9
0.44939,0.6,0.4,0.92
0.45192,0.6,0.4,0.94
0.45448,0.6,0.4,0.96
0.45708,0.6,0.4,0.98
0.45971,0.6,0.4,1
0.40597,0.6,0.5,0.02
0.40597,0.6,0.5,0.04
0.40597,0.6,0.5,0.06
0.40597,0.6,0.5,0.08
0.40597,0.6,0.5,0.1
0.40597,0.6,0.5,0.12
0.40597,0.6,0.5,0.14
0.40597,0.6,0.5,0.16
0.40597,0.6,0.5,0.18
0.40597,0.6,0.5,0.2
0.40598,0.6,0.5,0.22
0.40601,0.6,0.5,0.24
0.40607,0.6,0.5,0.26
0.40617,0.6,0.5,0.28
0.40634,0.6,0.5,0.3
0.4066,0.6,0.5,0.32
0.40696,0.6,0.5,0.34
0.40743,0.6,0.5,0.36
0.40803,0.6,0.5,0.38
0.40875,0.6,0.5,0.4
0.40961,0.6,0.5,0.42
0.4106,0.6,0.5,0.44
0.41172,0.6,0.5,0.46
0.41298,0.6,0.5,0.48
0.41436,0.6,0.5,0.5
0.41587,0.6,0.5,0.52
0.4175,0.6,0.5,0.54
0.41924,0.6,0.5,0.56
0.42109,0.6,0.5,0.58
0.42304,0.6,0.5,0.6
0.42509,0.6,0.5,0.62
0.42723,0.6,0.5,0.64
0.42946,0.6,0.5,0.66
0.43177,0.6,0.5,0.68
0.43416,0.6,0.5,0.7
0.43661,0.6,0.5,0.72
0.43914,0.6,0.5,0.74
0.44173,0.6,0.5,0.76
0.44439,0.6,0.5,0.78
0.44709,0.6,0.5,0.8
0.44985,0.6,0.5,0.82
0.45266,0.6,0.5,0.84
0.45552,0.6,0.5,0.86
0.45842,0.6,0.5,0.88
0.46136,0.6,0.5,0.9
0.46433,0.6,0.5,0.92
0.46734,0.6,0.5,0.94
0.47038,0.6,0.5,0.96
0.47346,0.6,0.5,0.98
0.47656,0.6,0.5,1
0.40716,0.6,0.6,0.02
0.40716,0.6,0.6,0.04
0.40716,0.6,0.6,0.06
0.40716,0.6,0.6,0.08
0.40716,0.6,0.6,0.1
0.40716,0.6,0.6,0.12
0.40716,0.6,0.6,0.14
0.40716,0.6,0.6,0.16
0.40716,0.6,0.6,0.18
0.40717,0.6,0.6,0.2
0.4072,0.6,0.6,0.22
0.40726,0.6,0.6,0.24
0.40739,0.6,0.6,0.26
0.40759,0.6,0.6,0.28
0.40791,0.6,0.6,0.3
0.40835,0.6,0.6,0.32
0.40894,0.6,0.6,0.34
0.40967,0.6,0.6,0.36
0.41056,0.6,0.6,0.38
0.41162,0.6,0.6,0.4
0.41283,0.6,0.6,0.42
0.4142,0.6,0.6,0.44
0.41572,0.6,0.6,0.46
0.41739,0.6,0.6,0.48
0.4192,0.6,0.6,0.5
0.42114,0.6,0.6,0.52
0.42321,0.6,0.6,0.54
0.4254,0.6,0.6,0.56
0.4277,0.6,0.6,0.58
0.43011,0.6,0.6,0.6
0.43262,0.6,0.6,0.62
0.43522,0.6,0.6,0.64
0.43791,0.6,0.6,0.66
0.44068,0.6,0.6,0.68
0.44353,0.6,0.6,0.7
0.44644,0.6,0.6,0.72
0.44943,0.6,0.6,0.74
0.45247,0.6,0.6,0.76
0.45557,0.6,0.6,0.78
0.45872,0.6,0.6,0.8
0.46192,0.6,0.6,0.82
0.46517,0.6,0.6,0.84
0.46846,0.6,0.6,0.86
0.47178,0.6,0.6,0.88
0.47515,0.6,0.6,0.9
0.47854,0.6,0.6,0.92
0.48197,0.6,0.6,0.94
0.48543,0.6,0.6,0.96
0.48891,0.6,0.6,0.98
0.49241,0.6,0.6,1
0.40834,0.6,0.7,0.02
0.40834,0.6,0.7,0.04
0.40834,0.6,0.7,0.06
0.40834,0.6,0.7,0.08
0.40834,0.6,0.7,0.1
0.40834,0.6,0.7,0.12
0.40834,0.6,0.7,0.14
0.40834,0.6,0.7,0.16
0.40835,0.6,0.7,0.18
0.40837,0.6,0.7,0.2
0.40843,0.6,0.7,0.22
0.40856,0.6,0.7,0.24
0.40878,0.6,0.7,0.26
0.40912,0.6,0.7,0.28
0.40961,0.6,0.7,0.3
0.41027,0.6,0.7,0.32
0.41111,0.6,0.7,0.34
0.41213,0.6,0.7,0.36
0.41333,0.6,0.7,0.38
0.41472,0.6,0.7,0.4
0.41629,0.6,0.7,0.42
0.41803,0.6,0.7,0.44
0.41994,0.6,0.7,0.46
0.42201,0.6,0.7,0.48
0.42423,0.6,0.7,0.5
0.42658,0.6,0.7,0.52
0.42907,0.6,0.7,0.54
0.43168,0.6,0.7,0.56
0.4344,0.6,0.7,0.58
0.43723,0.6,0.7,0.6
0.44016,0.6,0.7,0.62
0.44318,0.6,0.7,0.64
